slugID	title	subtitle	roles	seriesid	videoOrder	copy	youtubeId	href	mediaKind	mediaSrc	mediaAlt	mediaPoster	stripSources	vertical
Honest-waitress-5	The Honest Waitress: Menu	PitTV ft. Leila Graham	Director | Editor	the-honest-waitress	5		FUto6VeJfbI 		image					
architects-newspaper-interviews	Architect's Newspaper	Interview Series	Videographer & Editor			Videographer and editor for interviews on new architecture projects.	Bzhb1WBUNps		image					
directing-reel	Andy Zou's Comedy Directing Reel						bmKPJLfm4lk		image	https://i.ytimg.com/vi/bmKPJLfm4lk/maxresdefault.jpg				
Jackson-pollack	Jackson Pollack	ft. Douglas Widick	Director | Editor				f53aKCMl7FQ		image					
Long-distance	Long Distance Relationships	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Director | DP | Editor						image					
pissterine	Pissterine					Andy once kickstarted a Listerine knockoff that got shutdown in trademark court. 		https://www.kickstarter.com/projects/andyzou/pissterine-a-genuine-novelty-mouthwash 	video	/videos/pissterine.mp4				
Royal-heart	Royal Heart	Choreo Hayden Frederick	DP | Editor				zG2amIyE1Es		image					
sugar	Sugar	Sister Sparrow	DP | Editor				-53w2mv_upw		image					
three4	three4	ft. Yael Elisheva	Director | DP | Editor						image					
tootsies	Tootsie's Video Vault							https://tootsiesvideovault.com 	video	/videos/tootsies.mp4				
uber	Uber	SpoiledNYC ft. Gianmarco Soresi & Megan Sass	Director | DP | Editor						image					
Wonderful-life	It's a Wonderful Life		Director | Editor		9		_98xIvAvOhE		image					
projectiles	 			tech			MpUUsDDE1sI 		image					
unreal	 			tech			c22gpypHv2k 		image					
